"Rank","Team","Score","Elo","True Margin","Wins","Losses"
1,"Florida State",10,2322,96.43,10,0
2,"Baylor",9.69,2307,94.78,9,0
3,"Alabama",9.25,2315,75.87,10,0
4,"Oregon",9.05,2295,80.14,9,1
5,"Ohio State",8.97,2315,66.93,10,0
6,"Clemson",8.43,2294,60.39,9,1
7,"Auburn",8.39,2305,52.97,10,1
8,"Missouri",8.32,2292,58.24,9,1
9,"Wisconsin",8.32,2277,66.19,8,2
10,"Arizona State",8.24,2276,64.26,8,2
11,"Oklahoma State",8.22,2294,53.31,9,1
12,"Stanford",8.05,2278,56.96,8,2
13,"Louisville",7.93,2289,47.14,9,1
14,"Michigan State",7.86,2297,39.97,9,1
15,"Texas A&M",7.85,2271,54.43,8,2
16,"UCLA",7.73,2274,48.94,8,2
17,"Northern Illinois",7.66,2309,26.54,10,0
18,"South Carolina",7.61,2273,44.97,8,2
19,"Fresno State",7.59,2302,28.38,9,0
20,"USC",7.51,2266,46.18,8,3
21,"UCF",7.45,2282,34.84,8,1
22,"BYU",7.4,2256,47.9,7,3
23,"Oklahoma",7.36,2269,39.09,8,2
24,"Duke",7.34,2276,35.08,8,2
25,"LSU",7.31,2246,50.57,7,3
26,"Mississippi",7.1,2249,41.65,7,3
27,"Washington",6.99,2224,52.23,6,4
28,"East Carolina",6.93,2262,28.94,8,2
29,"Boise State",6.89,2249,34.78,7,3
30,"Minnesota",6.87,2274,20.68,8,2
31,"Kansas State",6.87,2228,45.91,6,4
32,"Texas",6.85,2250,32.99,7,3
33,"Houston",6.82,2243,36.33,7,3
34,"Georgia",6.8,2230,42.73,6,4
35,"Ball State",6.75,2274,16.36,9,2
36,"Miami (Florida)",6.74,2242,34.01,7,3
37,"Georgia Tech",6.73,2227,42.37,6,4
38,"Notre Dame",6.71,2248,29.72,7,3
39,"Virginia Tech",6.67,2235,35.89,7,4
40,"Cincinnati",6.65,2265,18.31,8,2
41,"Michigan",6.63,2245,28.9,7,3
42,"Louisiana-Lafayette",6.57,2271,12.36,8,2
43,"Toledo",6.56,2253,21.99,7,3
44,"Nebraska",6.56,2248,24.75,7,3
45,"Bowling Green",6.52,2240,28.1,7,3
46,"Utah State",6.49,2223,36.03,6,4
47,"Oregon State",6.48,2223,36.35,6,4
48,"Arizona",6.47,2219,38.06,6,4
49,"Texas Tech",6.47,2229,32.04,7,4
50,"Iowa",6.42,2225,33.07,6,4
51,"Marshall",6.4,2240,24.12,7,3
52,"Buffalo",6.38,2244,21.02,7,3
53,"McNeese State",6.38,2214,37.97,1,0
54,"North Texas",6.37,2247,19.08,7,3
55,"North Dakota State",6.28,2214,34.8,1,0
56,"Rice",6.23,2243,16.6,7,3
57,"Vanderbilt",6.21,2227,25.15,6,4
58,"Boston College",6.13,2224,23.81,6,4
59,"North Carolina",6.06,2211,28.98,5,5
60,"Penn State",5.94,2226,16.49,6,4
61,"Navy",5.91,2221,18.32,6,4
62,"Washington State",5.86,2205,25.82,5,5
63,"Utah",5.86,2179,40.17,4,6
64,"Maryland",5.81,2222,14.52,6,4
65,"Eastern Illinois",5.76,2200,24.94,1,1
66,"Pittsburgh",5.75,2201,24.16,5,5
67,"Chattanooga",5.73,2213,16.93,1,0
68,"Mississippi State",5.72,2185,32.5,4,6
69,"Arkansas State",5.67,2229,6.04,6,4
70,"Colorado State",5.56,2213,11.18,6,5
71,"Florida",5.55,2177,30.9,4,6
72,"Northern Iowa",5.54,2214,10.58,1,0
73,"Syracuse",5.52,2210,11.68,5,5
74,"San Diego State",5.5,2227,1.61,6,4
75,"Towson",5.47,2214,8.02,1,0
76,"Eastern Washington",5.46,2198,16.19,1,1
77,"Indiana",5.45,2182,24.88,4,6
78,"Middle Tennessee",5.45,2220,3.56,6,4
79,"Western Kentucky",5.4,2221,1.74,6,4
80,"Tennessee",5.26,2184,17.68,4,6
81,"Tulane",5.26,2218,-0.91,6,4
82,"Ohio",5.23,2215,-0.35,6,4
83,"Rutgers",5.2,2212,-0.14,5,4
84,"Fordham",5.18,2212,-0.65,1,0
85,"Northwestern",5.18,2172,21.74,4,6
86,"UTSA",5.11,2206,0.34,5,5
87,"TCU",5.09,2166,22.06,4,7
88,"Stony Brook",5.05,2185,10.07,0,1
89,"Wake Forest",4.94,2183,7.62,4,6
90,"San Jose State",4.92,2198,-1.24,5,5
91,"Richmond",4.9,2187,4.32,0,1
92,"Texas State",4.9,2218,-13.07,6,4
93,"Southeast Missouri State",4.89,2187,3.79,0,1
94,"Missouri State",4.86,2186,3.4,0,1
95,"Maine",4.86,2200,-4.66,1,1
